mm_4_75;mm_2;mm_1;fundo;peso_massa;data;produto;lote;ton;turno;box_consumo;aditivo;mm_4_75_perc;mm_2_perc;mm_1_perc;fundo_perc;linha
18.31;300.42;4.70;1.54;335.69;2025-02-05;20-00-20;738;49;B;BOX-01/04/08;NAO;5.63;92.45;1.45;0.47;MAQUINARIO
19.03;299.52;3.86;1.46;335.61;2025-02-05;20-00-20;739;49;B;BOX-01/04/08;NAO;5.88;92.48;1.19;0.45;MAQUINARIO
18.69;302.95;4.04;1.34;335.24;2025-02-05;20-00-20;741;34;B;BOX-01/04/08;NAO;5.72;92.64;1.24;0.41;MAQUINARIO
6.06;287.18;4.65;1.26;311.79;2025-02-06;20-00-20;749;49;A;BOX-01/06/10;NAO;2.03;96.00;1.55;0.42;MAQUINARIO
6.42;277.69;6.26;3.11;306.65;2025-02-06;20-00-20;750;1;A;BOX-01/06/10;NAO;2.19;94.62;2.13;1.06;MAQUINARIO
5.03;277.19;8.19;7.76;311.13;2025-02-06;20-00-20;750;48;A;BOX-01/06/10;NAO;1.69;92.96;2.75;2.60;MAQUINARIO
48.3;257.28;3.99;0.44;303.75;2024-11-22;SAM 20.5;296;50;A;BOX-09/10;NÃO;15.58;82.99;1.29;0.14;BAG MOVEL
42.67;252.86;3.58;0.98;295;2024-11-22;SAM 20.5;297;35;A;BOX-09/10;NÃO;14.22;84.26;1.19;0.33;BAG MOVEL
55.04;265.02;13.26;6.14;332.68;2024-11-22;SAM 20.5;298;40;B;AZ-04-B;NÃO;16.31;72.94;3.93;1.82;BAG MOVEL
4.32;317.81;14.98;0.83;335.01;2024-11-27;UREIA;31;49;B;AZ-05;NÃO;1.28;94.04;4.43;0.25;BAG MOVEL
123.65;214.54;2.64;0.86;335.48;2024-11-27;UREIA;32;50;B;AZ-05;NÃO;36.19;62.79;0.77;0.25;BAG MOVEL
2.04;301.54;16.05;1.52;306.4;2024-11-28;UREIA;35;50;A;AZ-05;NÃO;0.64;93.86;5.00;0.50;BAG MOVEL
5.11;308.07;21.44;4.05;334.55;2024-11-28;UREIA;36;50;B;AZ-05;NÃO;1.51;90.96;6.33;1.20;BAG MOVEL
4.56;293.52;11.32;1.47;303.71;2024-11-29;UREIA;37;48;A;AZ-05;NÃO;1.47;94.42;3.64;0.47;BAG MOVEL
43.4;290.72;7.18;1.25;334.97;2024-11-29;UREIA;39;50;B;AZ-05;NÃO;12.67;84.87;2.10;0.36;BAG MOVEL
43.35;291.38;7.12;0.94;335.02;2024-11-29;UREIA;40;48;B;AZ-05;NÃO;12.35;85.00;2.08;0.27;BAG MOVEL
48.38;285.79;7.5;1.38;335.37;2024-11-29;UREIA;41;50;B;AZ-05;NÃO;14.10;83.31;2.19;0.40;BAG MOVEL
49.01;286.22;8.01;1.4;336.01;2024-11-29;UREIA;42;49;B;AZ-05;NÃO;15.01;83.99;2.55;0.42;BAG MOVEL
4.67;358.8;15.34;1.61;316.9;2024-11-30;UREIA;43;49;A;AZ-05;NÃO;1.23;94.32;4.03;0.42;BAG MOVEL
7.57;2999.11;20.58;3.6;326.6;2024-11-30;UREIA;44;49;A;AZ-05;NÃO;2.29;90.40;6.22;1.09;BAG MOVEL
24.23;327.21;3.23;1.08;348.07;2024-11-30;UREIA;45;49;A;AZ-05;NÃO;6.81;91.98;0.91;0.30;BAG MOVEL
2.86;320.01;16.96;1.34;334.82;2024-11-30;UREIA;46;49;B;AZ-05;NÃO;0.84;93.80;4.97;0.39;BAG MOVEL
32.54;290.85;7.69;1.21;334.28;2024-12-02;UREIA;48;49;B;AZ-05;NÃO;9.29;87.53;2.31;0.36;BAG MOVEL
30.56;289.87;7.73;1.27;334.68;2024-12-02;UREIA;49;49;B;AZ-05;NÃO;9.28;87.99;2.35;0.39;BAG MOVEL
0.2;307.42;11.01;1.12;317;2024-12-04;UREIA;50;49;A;AZ-05;NÃO;0.06;96.14;3.44;0.35;BAG MOVEL
0.81;288.36;15.12;1.38;302.65;2024-12-04;UREIA;51;49;A;AZ-05;NÃO;0.26;94.34;4.95;0.45;BAG MOVEL
0.2;294.86;6.93;1.2;302.08;2024-12-04;UREIA;52;49;A;AZ-05;NÃO;0.07;97.05;2.24;0.10;BAG MOVEL
5.41;325.96;0.65;0.99;335.13;2024-12-04;UREIA;53;49;B;AZ-05;NÃO;1.61;97.91;0.19;0.29;BAG MOVEL
6.63;312.3;8.21;3.33;335.18;2024-12-05;MAP-12-52;314;50;B;AZ-07-A;NÃO;2.01;94.50;2.48;1.01;BAG MOVEL
7.59;311.23;7.2;2.61;335.26;2024-12-05;MAP-12-52;315;50;B;AZ-07-A;NÃO;2.31;94.71;2.19;0.79;BAG MOVEL
8.12;308.23;17.58;1.48;335.88;2024-12-05;MAP-12-52;316;50;B;AZ-07-A;NÃO;2.42;91.90;5.24;0.44;BAG MOVEL
6.38;303.94;1.6;1.03;335.44;2024-12-04;UREIA;54;48;B;AZ-05;NÃO;1.88;97.35;0.47;0.30;BAG MOVEL
5.44;329.97;2.57;1.06;335.57;2024-12-04;UREIA;55;48;B;AZ-05;NÃO;1.60;97.32;0.76;0.32;BAG MOVEL
0.1;294.95;11.25;1.75;311.19;2024-12-09;UREIA;75;49;A;AZ-05;NÃO;0.03;95.75;3.65;0.57;BAG MOVEL
2.12;292.95;6.88;0.35;303.13;2024-12-09;UREIA;76;48;A;AZ-05;NÃO;0.70;96.91;2.28;0.12;BAG MOVEL
41.14;286.65;3.91;0.87;334.53;2024-12-09;SAM 20.5;421;50;B;AZ-04-B;NAO;12.37;86.19;1.18;0.26;BAG MOVEL
33.04;293.39;5.19;1.89;334.73;2024-12-09;SAM 20.5;422;50;B;AZ-04-B;NAO;9.91;87.97;1.56;0.57;BAG MOVEL
1.79;326.79;4.6;0.23;336.31;2024-12-09;UREIA;77;49;A;02/04/10;SIM;0.54;98.01;1.38;0.07;BAG MOVEL
6.84;313.87;13.01;0.97;335.37;2024-12-09;UREIA;78;49;B;AZ-05;NAO;2.04;93.78;3.89;0.29;BAG MOVEL
1.35;313.02;7.09;0.45;325.69;2024-12-10;UREIA;79;48;A;AZ-05;NÃO;0.42;97.24;2.20;0.14;BAG MOVEL
3.56;283.58;10.57;2.28;303.25;2024-12-10;UREIA;80;48;A;AZ-05;NÃO;1.19;94.53;3.52;0.76;BAG MOVEL
4.7;318.93;8.37;1.1;334.68;2024-12-10;UREIA;81;41;B;AZ-05;NÃO;1.41;95.75;2.51;0.33;BAG MOVEL
2.31;314.4;14.64;1.21;334.54;2024-12-10;UREIA;82;49;B;AZ-05;NAO;0.69;94.54;4.40;0.36;BAG MOVEL
3.29;312.39;11.62;1.18;335.31;2024-12-10;UREIA;83;49;B;AZ-05;NAO;1.00;95.10;3.54;0.36;BAG MOVEL
1.21;290;6.44;0.1;299.47;2024-12-11;UREIA;84;49;A;AZ-05;NÃO;0.41;97.40;2.16;0.03;BAG MOVEL
2.12;284.13;9.14;0.96;297.66;2024-12-13;MAP-12-52;329;50;A;AZ-07-B;NÃO;0.72;95.88;3.08;0.32;BAG MOVEL
6.03;292.93;2.62;0.96;303.99;2024-12-13;MAP-12-52;330;50;A;AZ-07-B;NÃO;1.99;96.82;0.87;0.32;BAG MOVEL
3.27;282.25;6.75;0.9;294.69;2024-12-13;MAP-12-52;331;50;A;AZ-07-B;NÃO;1.12;96.28;2.30;0.31;BAG MOVEL
4.02;283.15;7.54;1.45;350.72;2024-12-13;MAP-12-52;332;37;A;AZ07-B;NÃO;2.05;97.45;3.10;0.34;BAG MOVEL
3.81;315.99;5.67;0.95;326.87;2024-12-14;MAP-12-52;337;50;A;AZ-07-A;NÃO;1.17;96.90;1.74;0.29;BAG MOVEL
